UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 16:21 ?        00:00:01 /sbin/init splash
root         2     0  0 16:21 ?        00:00:00 [kthreadd]
root         3     2  0 16:21 ?        00:00:49 [ksoftirqd/0]
root         5     2  0 16:21 ?        00:00:00 [kworker/0:0H]
root         7     2  0 16:21 ?        00:00:46 [rcu_sched]
root         8     2  0 16:21 ?        00:00:00 [rcu_bh]
root         9     2  0 16:21 ?        00:00:00 [migration/0]
root        10     2  0 16:21 ?        00:00:00 [watchdog/0]
root        11     2  0 16:21 ?        00:00:00 [watchdog/1]
root        12     2  0 16:21 ?        00:00:00 [migration/1]
root        13     2  0 16:21 ?        00:01:00 [ksoftirqd/1]
root        15     2  0 16:21 ?        00:00:00 [kworker/1:0H]
root        16     2  0 16:21 ?        00:00:00 [kdevtmpfs]
root        17     2  0 16:21 ?        00:00:00 [netns]
root        18     2  0 16:21 ?        00:00:00 [perf]
root        19     2  0 16:21 ?        00:00:00 [khungtaskd]
root        20     2  0 16:21 ?        00:00:00 [writeback]
root        21     2  0 16:21 ?        00:00:00 [ksmd]
root        22     2  0 16:21 ?        00:00:00 [khugepaged]
root        23     2  0 16:21 ?        00:00:00 [crypto]
root        24     2  0 16:21 ?        00:00:00 [kintegrityd]
root        25     2  0 16:21 ?        00:00:00 [bioset]
root        26     2  0 16:21 ?        00:00:00 [kblockd]
root        27     2  0 16:21 ?        00:00:00 [ata_sff]
root        28     2  0 16:21 ?        00:00:00 [md]
root        29     2  0 16:21 ?        00:00:00 [devfreq_wq]
root        34     2  0 16:21 ?        00:00:00 [kswapd0]
root        35     2  0 16:21 ?        00:00:00 [vmstat]
root        36     2  0 16:21 ?        00:00:00 [fsnotify_mark]
root        37     2  0 16:21 ?        00:00:00 [ecryptfs-kthrea]
root        53     2  0 16:21 ?        00:00:00 [kthrotld]
root        54     2  0 16:21 ?        00:00:00 [acpi_thermal_pm]
root        55     2  0 16:21 ?        00:00:00 [bioset]
root        56     2  0 16:21 ?        00:00:00 [bioset]
root        57     2  0 16:21 ?        00:00:00 [bioset]
root        58     2  0 16:21 ?        00:00:00 [bioset]
root        59     2  0 16:21 ?        00:00:00 [bioset]
root        60     2  0 16:21 ?        00:00:00 [bioset]
root        61     2  0 16:21 ?        00:00:00 [bioset]
root        62     2  0 16:21 ?        00:00:00 [bioset]
root        63     2  0 16:21 ?        00:00:00 [bioset]
root        64     2  0 16:21 ?        00:00:00 [bioset]
root        65     2  0 16:21 ?        00:00:00 [bioset]
root        66     2  0 16:21 ?        00:00:00 [bioset]
root        67     2  0 16:21 ?        00:00:00 [bioset]
